,date,time,temperature,humidity
340,2021-02-15,04:00:00,24.6,91.82
341,2021-02-15,05:00:00,25.0,94.19
342,2021-02-15,06:00:00,25.0,94.19
343,2021-02-15,07:00:00,23.7,98.12
344,2021-02-15,08:00:00,25.1,88.69
345,2021-02-15,09:00:00,26.2,83.14
346,2021-02-15,10:00:00,29.3,75.79
347,2021-02-15,11:00:00,30.1,61.96
348,2021-02-15,12:00:00,32.8,53.04
349,2021-02-15,13:00:00,33.0,55.08
350,2021-02-15,14:00:00,33.8,47.17
351,2021-02-15,15:00:00,33.8,44.59
352,2021-02-15,16:00:00,33.8,50.51
353,2021-02-15,17:00:00,31.8,47.42
354,2021-02-15,18:00:00,30.8,56.49
355,2021-02-15,19:00:00,30.3,65.11
356,2021-02-15,20:00:00,27.9,74.69
357,2021-02-15,21:00:00,27.9,75.09
358,2021-02-15,22:00:00,27.8,78.89
359,2021-02-15,23:00:00,27.0,78.78
360,2021-02-16,00:00:00,26.9,79.62
361,2021-02-16,01:00:00,26.4,87.67
362,2021-02-16,02:00:00,26.0,88.76
363,2021-02-16,03:00:00,26.0,88.76
364,2021-02-16,04:00:00,24.7,96.3
365,2021-02-16,05:00:00,25.2,88.22
366,2021-02-16,06:00:00,24.3,93.16
367,2021-02-16,07:00:00,24.1,97.47
368,2021-02-16,08:00:00,25.2,93.7
369,2021-02-16,09:00:00,27.1,83.24
370,2021-02-16,10:00:00,30.0,72.78
371,2021-02-16,11:00:00,31.9,59.02
372,2021-02-16,12:00:00,31.9,58.71
373,2021-02-16,13:00:00,32.2,60.75
374,2021-02-16,14:00:00,32.9,49.91
375,2021-02-16,15:00:00,32.9,49.64
376,2021-02-16,16:00:00,33.5,55.2
377,2021-02-16,17:00:00,31.9,55.54
378,2021-02-16,18:00:00,30.9,59.11
379,2021-02-16,19:00:00,32.1,56.36
380,2021-02-16,20:00:00,28.9,67.03
381,2021-02-16,21:00:00,28.0,74.7
382,2021-02-16,22:00:00,27.7,79.75
383,2021-02-16,23:00:00,28.0,74.7
384,2021-02-17,00:00:00,27.0,83.68
385,2021-02-17,01:00:00,26.7,86.14
386,2021-02-17,02:00:00,27.0,83.68
387,2021-02-17,03:00:00,27.0,83.68
388,2021-02-17,04:00:00,25.2,96.32
389,2021-02-17,05:00:00,25.2,93.2
390,2021-02-17,06:00:00,25.1,94.19
391,2021-02-17,07:00:00,25.1,93.04
392,2021-02-17,08:00:00,26.0,89.23
393,2021-02-17,09:00:00,27.1,83.69
394,2021-02-17,10:00:00,28.1,84.18
395,2021-02-17,11:00:00,31.0,62.5
396,2021-02-17,12:00:00,31.9,55.84
397,2021-02-17,13:00:00,33.5,57.87
398,2021-02-17,14:00:00,33.0,49.4
399,2021-02-17,15:00:00,34.0,43.91
400,2021-02-17,16:00:00,34.5,51.76
401,2021-02-17,17:00:00,31.9,59.66
402,2021-02-17,18:00:00,30.8,63.13
403,2021-02-17,19:00:00,30.0,71.64
404,2021-02-17,20:00:00,28.0,74.7
405,2021-02-17,21:00:00,28.0,78.92
406,2021-02-17,22:00:00,28.1,83.72
407,2021-02-17,23:00:00,27.0,83.68
408,2021-02-18,00:00:00,27.0,83.23
409,2021-02-18,01:00:00,27.0,87.73
410,2021-02-18,02:00:00,27.0,83.68
411,2021-02-18,03:00:00,26.0,88.76
412,2021-02-18,04:00:00,26.0,91.95
413,2021-02-18,05:00:00,25.0,93.69
414,2021-02-18,06:00:00,25.0,73.0
415,2021-02-18,07:00:00,22.2,89.2
416,2021-02-18,08:00:00,24.9,61.48
417,2021-02-18,09:00:00,26.9,51.54
418,2021-02-18,10:00:00,29.1,53.11
419,2021-02-18,11:00:00,29.0,45.63
420,2021-02-18,12:00:00,29.9,45.88
421,2021-02-18,13:00:00,32.1,49.12
422,2021-02-18,14:00:00,31.1,45.43
423,2021-02-18,15:00:00,31.1,42.89
424,2021-02-18,16:00:00,33.1,46.45
425,2021-02-18,17:00:00,31.1,42.65
426,2021-02-18,18:00:00,30.1,45.41
